Día;Mes;Horario;Hora;Edad;Sexo
Domingo;1;Mañana;10;57;Hombre
Domingo;1;Noche;3;45;Hombre
Domingo;1;Tarde;17;45;Hombre
Domingo;1;Tarde;17;49;Hombre
Domingo;1;Tarde;18;27;Hombre
Domingo;1;Tarde;14;35;Hombre
Lunes;1;Noche;4;40;Mujer
Lunes;1;Noche;4;28;Hombre
Lunes;1;Noche;4;39;Hombre
Lunes;1;Noche;4;59;Hombre
Lunes;1;Mañana;8;42;Hombre
Lunes;1;Mañana;9;64;Mujer
Lunes;1;Mañana;9;31;Hombre
Lunes;1;Mañana;9;27;Mujer
Lunes;1;Mañana;10;70;Hombre
Lunes;1;Mañana;9;50;Hombre
Lunes;1;Mañana;11;42;Mujer
Lunes;1;Mañana;10;54;Hombre
Lunes;1;Mañana;10;32;Mujer
Lunes;1;Mañana;10;51;Hombre
Lunes;1;Mañana;8;22;Mujer
Lunes;1;Mañana;8;67;Mujer
Lunes;1;Mañana;8;22;Mujer
Lunes;1;Mañana;11;61;Hombre
Lunes;1;Mañana;11;83;Hombre
Lunes;1;Mañana;13;28;Hombre
Lunes;1;Tarde;15;37;Hombre
Lunes;1;Tarde;17;85;Mujer
Lunes;1;Tarde;14;40;Mujer
Lunes;1;Tarde;18;31;Hombre
Lunes;1;Tarde;18;33;Mujer
Miércoles;1;Tarde;16;26;Mujer
Lunes;1;Tarde;18;41;Mujer
Lunes;1;Tarde;19;35;Hombre
Lunes;1;Tarde;19;48;Hombre
Lunes;1;Tarde;19;57;Hombre
Lunes;1;Tarde;19;26;Hombre
Lunes;1;Tarde;19;44;Hombre
Lunes;1;Tarde;19;52;Mujer
Lunes;1;Tarde;19;25;Mujer
Lunes;1;Tarde;19;13;Hombre
Lunes;1;Noche;22;61;Mujer
Lunes;1;Tarde;21;49;Hombre
Lunes;1;Tarde;20;50;Hombre
Martes;1;Mañana;8;6;Mujer
Martes;1;Mañana;8;67;Mujer
Martes;1;Mañana;8;46;Mujer
Martes;1;Mañana;13;42;Hombre
Martes;1;Mañana;13;69;Hombre
Martes;1;Mañana;13;48;Hombre
Martes;1;Tarde;15;50;Mujer
Martes;1;Tarde;14;43;Mujer
Martes;1;Tarde;14;35;Hombre
Martes;1;Tarde;17;61;Mujer
Martes;1;Tarde;18;57;Mujer
Martes;1;Tarde;18;73;Hombre
