Marital status;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Gender;Scholarship holder;Age at enrollment;Target
1;1;19;12;5;9;1;0;20;Dropout
1;1;1;3;3;3;1;0;19;Graduate
1;1;37;37;9;9;1;0;19;Dropout
1;1;38;37;5;3;0;0;20;Graduate
2;1;37;38;9;9;0;0;45;Graduate
2;1;37;37;9;7;1;0;50;Graduate
1;1;19;38;7;10;0;1;18;Graduate
1;1;37;37;9;9;1;0;22;Dropout
1;62;1;1;9;9;0;1;21;Graduate
1;1;1;19;4;7;0;0;18;Dropout
1;1;38;19;5;7;0;0;18;Graduate
1;1;19;38;9;9;0;1;18;Graduate
1;1;19;37;4;9;0;0;19;Dropout
1;1;1;1;4;7;0;1;21;Graduate
1;1;38;37;5;5;0;1;18;Graduate
1;1;19;37;9;3;0;0;20;Dropout
1;1;19;38;5;8;0;0;18;Enrolled
1;1;19;1;5;4;0;0;18;Graduate
1;1;3;19;3;5;0;0;20;Graduate
1;1;19;19;7;7;0;0;18;Enrolled
1;1;1;1;9;8;0;1;21;Graduate
1;1;1;38;4;7;0;0;20;Enrolled
1;1;19;19;1;1;0;0;18;Graduate
1;1;1;38;4;7;0;1;19;Graduate
1;1;19;19;3;7;0;0;19;Graduate
1;1;19;38;9;9;0;1;18;Enrolled
1;1;19;38;7;8;0;0;21;Graduate
1;1;19;19;3;3;0;0;18;Enrolled
1;1;19;1;9;9;0;0;20;Graduate
1;1;3;3;1;10;1;0;19;Enrolled
1;1;4;5;4;2;1;0;21;Enrolled
1;1;42;3;125;124;1;0;20;Graduate
1;1;1;1;4;6;1;0;18;Enrolled
1;1;19;1;9;5;0;0;19;Graduate
1;1;2;37;3;9;1;0;34;Graduate
1;1;38;37;9;6;1;0;37;Dropout
1;1;34;37;0;0;1;0;43;Dropout
1;1;37;37;6;6;0;0;55;Dropout
4;1;19;19;9;3;0;0;39;Graduate
1;6;4;4;3;6;0;0;20;Dropout
1;1;3;3;2;2;0;0;18;Dropout
1;1;3;19;2;7;0;0;22;Graduate
1;1;1;3;2;2;0;0;22;Graduate
1;1;1;38;5;5;0;0;20;Dropout
1;1;37;37;9;9;0;0;29;Dropout
1;1;38;38;4;5;0;0;24;Enrolled
1;1;19;19;9;9;0;0;18;Graduate
1;1;37;19;7;7;0;1;22;Graduate
1;1;1;19;9;9;0;1;21;Graduate
1;1;37;38;9;9;0;1;19;Graduate
1;1;19;38;9;7;0;1;24;Graduate
1;1;37;38;6;6;0;1;19;Enrolled
